1,RENT
2,INTERNET
3,ELECTRICITY
4,RETREAT
5,DOMAIN
6,SHOPPING
7,GAS
8,C0-REGISTRATION
9,E-PURCHASE_REPAIR
10,CSR
11,SUBSCRIPTION
12,OFFICE_ITEM
13,SERVICE
14,OUTSOURCED SERVICES
